requests_per_minute,failed_logins,unique_paths,post_get_ratio,suspicious_keywords,label
51,2,14,0.36681754108340137,1,0
60,3,12,0.7051210360667093,1,0
30,3,10,0.12332179003190934,1,0
50,3,16,0.7161716181545806,1,0
47,2,17,0.4994321923273368,0,0
38,2,11,0.6684153771686816,1,0
12,3,19,0.6681685921846258,0,0
44,3,6,0.5088876537111376,1,0
67,1,7,0.6562802924902905,1,0
28,3,11,0.09730272407324835,0,0
9,0,14,0.5941528956937565,1,0
9,0,11,0.46773436048310957,0,0
62,0,11,0.36511659091165927,1,0
48,2,13,0.49479689178377173,1,0
34,1,3,0.5397794578081555,0,0
51,1,13,0.619231789221217,0,0
53,2,17,0.6407951304463013,0,0
63,3,11,0.3780960319407473,1,0
67,0,7,0.7258489966009812,1,0
17,1,3,0.5173632369047232,0,0
30,3,14,0.7249879459911021,0,0
33,1,13,0.48736990654776363,1,0
67,0,12,0.09087176115732477,1,0
10,2,18,0.38735292881753586,0,0
44,2,17,0.15135566797277789,0,0
57,1,12,0.16470931359589497,0,0
47,0,7,0.7149288471869719,0,0
44,2,17,0.12673434850564996,0,0
56,3,18,0.6075450095831714,1,0
79,2,7,0.6787655200738109,0,0
59,3,10,0.548274602606744,1,0
42,3,6,0.06427890585790254,0,0
49,0,6,0.7990838047319017,0,0
33,0,14,0.16934812312031294,0,0
58,0,8,0.6916811289734428,1,0
39,3,18,0.544526336042271,0,0
52,3,12,0.7090270376257397,1,0
32,1,12,0.6025969095871335,0,0
68,1,13,0.37667055676979017,0,0
20,1,13,0.5002001353634783,0,0
77,0,4,0.1952225861455441,0,0
43,3,3,0.4788667800653051,1,0
75,1,11,0.571378208501612,0,0
51,0,4,0.6374278215467113,0,0
29,3,18,0.5177046593146881,1,0
12,2,4,0.3173650673287299,0,0
32,0,9,0.1977658450647629,1,0
8,1,4,0.38583591631344855,0,0
52,3,11,0.39237865926163334,1,0
46,0,11,0.6408099016290669,0,0
30,2,3,0.3643734904720936,0,0
38,0,6,0.24233572767382333,0,0
66,3,7,0.539228910976705,0,0
44,3,14,0.40518613400418846,0,0
61,0,19,0.7161037515203127,0,0
8,0,5,0.24761242706776615,1,0
45,0,9,0.7674249328134923,1,0
72,1,11,0.6322986716981488,0,0
23,2,2,0.70408176856684,0,0
47,3,16,0.6056861851793378,0,0
62,0,8,0.7130502434189566,1,0
60,2,14,0.5859809191488572,0,0
69,1,7,0.34546712760166315,0,0
74,0,10,0.39789128919741357,1,0
48,2,5,0.6236505434281044,1,0
5,3,14,0.5708899247084147,1,0
46,0,19,0.4776046108119719,1,0
